,noun,cnt
4575,배치,35
4210,부스,35
5801,정착,35
1294,해안로,35
5514,구옥,35
5923,설탕,35
1502,원두,35
4607,미역국,35
4223,반대편,35
1751,선녀,35
3063,전경,35
4603,성게,35
4218,데이,35
5052,물방울,35
6558,요런,35
6007,숙식,35
4722,양파,35
2479,꿀잠,35
1172,한여름,35
5594,환승,35
1226,변기,35
3090,방어,35
876,양쪽,35
1134,로움,35
2807,비닐,34
4234,더위,34
6755,두부,34
6754,애플,34
3635,다나,34
1583,전시관,34
6670,일로,34
4084,목포항,34
3470,불가,34
750,무인,34
115,오르막,34
1717,간판,34
2244,리기,34
2449,피로,34
1187,빵빵,34
3308,생수,34
1610,보트,34
654,머신,34
4998,마카롱,34
4315,공감,34
9504,레일바이크,34
549,칵테일,34
836,요소,34
1429,연못,34
7988,국제,34
2356,용이,34
2111,정성,34
591,편도,34
2106,소문,34
6290,사업,34
15160,주베,34
2179,활짝,34
2787,밸리,34
315,지출,34
509,이외,34
1746,갓길,34
5671,카운터,34
6332,유채,34
1,어디가,34
5234,스타,34
2722,천지,33
4680,컵라면,33
3610,듯이,33
409,접근성,33
2669,등장,33
3651,사기,33
3734,간만,33
4050,요하,33
809,최종,33
4573,잡기,33
6304,접수,33
4088,돌하르방,33
2590,저장,33
1600,장면,33
482,조미료,33
335,인프라,33
2194,향기,33
470,전기밥솥,33
3273,공개,33
7021,드레스,33
4233,추위,33
1794,이제야,33
2513,이중섭,33
3175,썰물,33
5109,말차,33
3149,기와,33
2993,인도,33
3106,일품,33
3011,하라,33
3091,광어,33
1480,합격,33
4319,출항,33
1521,절경,33
74,긴장,33
7367,원데이,33
4765,개장,33
6933,낯선,33
6511,잘못,33
1224,개념,33
3438,강사,33
3442,양말,33
1825,민들레,33
2470,다운,33
2478,렌즈,32
2740,텃밭,32
2252,신라,32
2248,스테이크,32
3990,마자,32
1458,수저,32
8553,만장굴,32
3083,된장찌개,32
5397,윤슬,32
848,운치,32
4316,도배,32
4962,광고,32
3557,디럭스,32
2027,아리,32
4027,항공권,32
3968,루스,32
879,산책길,32
1935,해양,32
5931,가치,32
892,야식,32
894,에코,32
1846,어서,32
3955,조성,32
4093,노티,32
4292,반대,32
1885,성산읍,32
4431,선인장,32
250,가량,32
3658,전이,32
788,매년,32
1335,몇개,32
789,일본,32
1097,채광,32
4943,액자,32
3475,건너,32
3486,귀가,32
2650,해주시,32
8674,꼬꼬,32
3548,모슬포항,32
427,쿠폰,32
1833,성비,32
1780,주위,32
5574,색시,32
2235,연날리기,32
5100,조개,32
1787,마미,32
2623,소음,31
2682,장갑,31
49,승선권,31
11,바우트,31
1744,조절,31
2640,학년,31
1724,응원,31
2093,이예,31
1919,군락,31
50,분만,31
1220,장도,31
3260,내외,31
3555,호캉스,31
