"행정구역(시군구)별","이동규모별",2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"행정구역(시군구)별","이동규모별",총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건)
"논산시","계",9391,10203,-812,9296,10065,-769,8748,9869,-1121,9199,9916,-717,9356,10547,-1191,9195,9814,-619,8371,8759,-388
"계룡시","계",4234,4119,115,4711,4405,306,4092,4438,-346,4295,4721,-426,4946,5136,-190,5140,4972,168,5087,4586,501
"당진시","계",16315,15495,820,14909,14279,630,15473,15234,239,13650,13975,-325,15117,15306,-189,16968,15897,1071,15284,13888,1396
"금산군","계",3753,3864,-111,3464,3817,-353,3606,3950,-344,3427,3876,-449,3693,4078,-385,3595,3822,-227,3557,3391,166
"연기군","계",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"논산군","계",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"부여군","계",4438,4864,-426,4192,4636,-444,4500,4921,-421,3950,4697,-747,4161,4837,-676,4007,4445,-438,3651,4004,-353
"서천군","계",3382,3710,-328,3065,3426,-361,3064,3670,-606,3021,3496,-475,3466,3907,-441,3416,3781,-365,3133,3152,-19
"청양군","계",2764,2270,494,2788,2439,349,2843,2944,-101,2552,2766,-214,2456,2779,-323,2425,2472,-47,2403,2186,217
"홍성군","계",10261,7698,2563,8142,7270,872,7755,7870,-115,7452,7606,-154,7792,7998,-206,7539,7725,-186,6926,6926,0
"예산군","계",4865,5876,-1011,4764,5155,-391,5438,5478,-40,5029,5512,-483,5558,6023,-465,5458,5806,-348,5751,5109,642
"태안군","계",5099,4678,421,4847,4545,302,4875,5064,-189,4601,4723,-122,4830,4990,-160,4954,5047,-93,4519,4130,389
